"rental_id","customer_id","payment_id","staff_id","amount","film_id","store_id","rental_date","return_date"
1520,341,17503,2,7.99,749,1,2005-06-15 23:57:20.000,2005-06-24 23:46:20.000
1778,341,17504,1,1.99,552,2,2005-06-16 18:54:48.000,2005-06-22 16:08:48.000
1849,341,17505,1,7.99,551,1,2005-06-17 00:13:19.000,2005-06-23 18:37:19.000
2829,341,17506,2,2.99,445,1,2005-06-19 21:11:30.000,2005-06-24 18:10:30.000
3130,341,17507,2,7.99,563,1,2005-06-20 19:03:22.000,2005-06-29 18:05:22.000
3382,341,17508,1,5.99,26,1,2005-06-21 14:05:23.000,2005-06-29 19:13:23.000
2190,342,17509,2,5.99,961,2,2005-06-18 01:29:51.000,2005-06-26 04:31:51.000
2914,342,17510,1,5.99,527,2,2005-06-20 03:43:18.000,2005-06-25 03:44:18.000
3081,342,17511,1,2.99,449,2,2005-06-20 15:29:13.000,2005-06-24 21:00:13.000
1547,343,17512,2,4.99,639,2,2005-06-16 01:42:24.000,2005-06-19 01:13:24.000
1564,343,17513,1,6.99,30,1,2005-06-16 02:47:07.000,2005-06-24 03:12:07.000
1879,343,17514,2,0.99,868,1,2005-06-17 02:57:34.000,2005-06-19 00:00:34.000
1922,343,17515,2,0.99,545,1,2005-06-17 06:04:25.000,2005-06-18 09:15:25.000
2461,343,17516,2,6.99,16,1,2005-06-18 19:58:12.000,2005-06-28 01:35:12.000
2980,343,17517,1,8.99,69,2,2005-06-20 08:35:03.000,2005-06-29 07:57:03.000
3407,343,17518,1,0.99,855,2,2005-06-21 16:14:02.000,2005-06-24 15:38:02.000
1341,344,17519,1,3.99,738,1,2005-06-15 12:26:18.000,2005-06-21 07:26:18.000
1475,344,17520,2,4.99,398,2,2005-06-15 21:08:01.000,2005-06-18 22:33:01.000
1731,344,17521,1,0.99,809,2,2005-06-16 15:32:12.000,2005-06-19 18:58:12.000
1210,345,17522,2,0.99,1,2,2005-06-15 02:57:51.000,2005-06-20 01:41:51.000
1457,345,17523,1,4.99,159,2,2005-06-15 20:05:49.000,2005-06-19 15:35:49.000
1550,345,17524,2,0.99,436,2,2005-06-16 01:58:35.000,2005-06-18 23:56:35.000
2766,345,17525,2,4.99,749,2,2005-06-19 17:45:15.000,2005-06-23 20:11:15.000
1994,346,17526,1,5.99,476,2,2005-06-17 11:07:06.000,2005-06-25 08:32:06.000
3372,346,17527,2,2.99,906,2,2005-06-21 13:34:19.000,2005-06-27 08:41:19.000
3421,346,17528,1,2.99,857,1,2005-06-21 17:22:58.000,2005-06-24 18:57:58.000
1711,347,17529,2,8.99,61,1,2005-06-16 14:11:52.000,2005-06-25 08:49:52.000
2274,347,17530,2,0.99,663,2,2005-06-18 06:31:15.000,2005-06-21 01:24:15.000
3026,347,17531,1,4.99,878,2,2005-06-20 11:48:00.000,2005-06-21 12:51:00.000
3092,347,17532,1,8.99,946,2,2005-06-20 16:04:42.000,2005-06-27 19:54:42.000
3326,347,17533,1,7.99,229,2,2005-06-21 09:04:50.000,2005-06-30 12:10:50.000
1654,348,17534,1,2.99,232,1,2005-06-16 09:42:48.000,2005-06-20 14:28:48.000
2041,348,17535,1,8.99,170,2,2005-06-17 14:19:00.000,2005-06-26 08:38:00.000
2499,348,17536,2,0.99,697,1,2005-06-18 23:01:36.000,2005-06-20 21:50:36.000
1197,349,17537,1,2.99,835,1,2005-06-15 01:42:46.000,2005-06-20 00:22:46.000
1523,349,17538,1,0.99,149,2,2005-06-16 00:18:40.000,2005-06-17 02:50:40.000
2987,349,17539,2,6.99,334,2,2005-06-20 08:55:50.000,2005-06-28 13:02:50.000
3067,349,17540,1,8.99,680,2,2005-06-20 13:59:21.000,2005-06-28 19:09:21.000
2011,350,17541,2,3.99,160,2,2005-06-17 11:56:09.000,2005-06-24 06:47:09.000
2619,350,17542,1,0.99,402,2,2005-06-19 08:03:12.000,2005-06-21 05:02:12.000
3079,350,17543,1,2.99,462,1,2005-06-20 15:13:40.000,2005-06-21 12:03:40.000
3206,350,17544,2,0.99,475,2,2005-06-21 00:39:39.000,2005-06-22 05:12:39.000
1792,351,17545,2,5.99,832,1,2005-06-16 20:04:50.000,2005-06-26 00:57:50.000
1869,351,17546,1,0.99,191,2,2005-06-17 02:08:00.000,2005-06-19 21:43:00.000
